REGIONID,DATATYPE,DATAVALUE,CALENDAR_DATE,PRETTYDATE
NSW1,Net Interchange,-1253,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Capacity,8639,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Demand,10856,2022/06/17 00:00:00,17-Jun-22
NSW1,Scheduled Reserve,-964,2022/06/17 00:00:00,17-Jun-22
NSW1,Trading Interval,18:30,2022/06/17 00:00:00,17-Jun-22
NSW1,Net Interchange,-2416,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Capacity,9013,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Demand,10179,2022/06/18 00:00:00,18-Jun-22
NSW1,Scheduled Reserve,1250,2022/06/18 00:00:00,18-Jun-22
NSW1,Trading Interval,18:30,2022/06/18 00:00:00,18-Jun-22
NSW1,Net Interchange,-2358,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Capacity,9451,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Demand,10318,2022/06/19 00:00:00,19-Jun-22
NSW1,Scheduled Reserve,1491,2022/06/19 00:00:00,19-Jun-22
NSW1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
NSW1,Net Interchange,-2394,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Capacity,10521,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Demand,11101,2022/06/20 00:00:00,20-Jun-22
NSW1,Scheduled Reserve,1814,2022/06/20 00:00:00,20-Jun-22
NSW1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
NSW1,Net Interchange,-2225,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Capacity,10707,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Demand,10948,2022/06/21 00:00:00,21-Jun-22
NSW1,Scheduled Reserve,1983,2022/06/21 00:00:00,21-Jun-22
NSW1,Trading Interval,18:30,2022/06/21 00:00:00,21-Jun-22
NSW1,Net Interchange,-2101,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Capacity,11297,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Demand,11219,2022/06/22 00:00:00,22-Jun-22
NSW1,Scheduled Reserve,2180,2022/06/22 00:00:00,22-Jun-22
NSW1,Trading Interval,18:30,2022/06/22 00:00:00,22-Jun-22
NSW1,Net Interchange,-2191,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Capacity,11366,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Demand,11574,2022/06/23 00:00:00,23-Jun-22
NSW1,Scheduled Reserve,1983,2022/06/23 00:00:00,23-Jun-22
NSW1,Trading Interval,18:30,2022/06/23 00:00:00,23-Jun-22
QLD1,Net Interchange,1271,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Capacity,8809,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Demand,7347,2022/06/17 00:00:00,17-Jun-22
QLD1,Scheduled Reserve,192,2022/06/17 00:00:00,17-Jun-22
QLD1,Trading Interval,18:00,2022/06/17 00:00:00,17-Jun-22
QLD1,Net Interchange,-197,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Capacity,8695,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Demand,7097,2022/06/18 00:00:00,18-Jun-22
QLD1,Scheduled Reserve,1795,2022/06/18 00:00:00,18-Jun-22
QLD1,Trading Interval,18:00,2022/06/18 00:00:00,18-Jun-22
QLD1,Net Interchange,-193,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Capacity,8827,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Demand,7183,2022/06/19 00:00:00,19-Jun-22
QLD1,Scheduled Reserve,1837,2022/06/19 00:00:00,19-Jun-22
QLD1,Trading Interval,18:30,2022/06/19 00:00:00,19-Jun-22
QLD1,Net Interchange,-249,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Capacity,8953,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Demand,7492,2022/06/20 00:00:00,20-Jun-22
QLD1,Scheduled Reserve,1710,2022/06/20 00:00:00,20-Jun-22
QLD1,Trading Interval,18:30,2022/06/20 00:00:00,20-Jun-22
QLD1,Net Interchange,-257,2022/06/21 00:00:00,21-Jun-22
QLD1,Scheduled Capacity,9103,2022/06/21 00:00:00,21-Jun-22
QLD1,Scheduled Demand,7422,2022/06/21 00:00:00,21-Jun-22
